Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 1), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 7), analyzer word, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 7), analyzer char, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 7), analyzer char, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.27006507592190887, with ngrams (1, 7), analyzer char, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 7), analyzer char, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.2950108459869848, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.3004338394793926, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.30151843817787416, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.29718004338394793, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25813449023861174, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.2668112798264642, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.272234273318872, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 7), analyzer char, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.25813449023861174, with ngrams (1, 7), analyzer char, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.27006507592190887, with ngrams (1, 7), analyzer char, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 7), analyzer char, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 7), analyzer char, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 7), analyzer char, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.27006507592190887, with ngrams (1, 7), analyzer char, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 7), analyzer char, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.22885032537960953, with ngrams (1, 8), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.23969631236442515, with ngrams (1, 8), analyzer word, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.2299349240780911, with ngrams (1, 8), analyzer word, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 8), analyzer word, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2472885032537961, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.2527114967462039, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.25488069414316705, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.25488069414316705, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.23318872017353579, with ngrams (1, 8), analyzer word, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 8), analyzer word, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.2299349240780911, with ngrams (1, 8), analyzer word, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 8), analyzer word, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.22885032537960953, with ngrams (1, 8), analyzer word, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.23969631236442515, with ngrams (1, 8), analyzer word, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.2299349240780911, with ngrams (1, 8), analyzer word, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.2386117136659436, with ngrams (1, 8), analyzer word, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 8), analyzer char, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.24837310195227766, with ngrams (1, 8), analyzer char, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 8), analyzer char, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.2765726681127983, with ngrams (1, 8), analyzer char, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.29718004338394793, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.30151843817787416, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.30151843817787416, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.29718004338394793, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25813449023861174, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.26898047722342733, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2646420824295011, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.272234273318872, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.23644251626898047, with ngrams (1, 8), analyzer char, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.24837310195227766, with ngrams (1, 8), analyzer char, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 8), analyzer char, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.2765726681127983, with ngrams (1, 8), analyzer char, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 8), analyzer char, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.24837310195227766, with ngrams (1, 8), analyzer char, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 8), analyzer char, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.2765726681127983, with ngrams (1, 8), analyzer char, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.1681127982646421, with ngrams (2, 3), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.16377440347071584, with ngrams (2, 3), analyzer word, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.18329718004338394, with ngrams (2, 3), analyzer word, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.16919739696312364, with ngrams (2, 3), analyzer word, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.23535791757049893, with ngrams (2, 3), analyzer word, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.23535791757049893, with ngrams (2, 3), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.23535791757049893, with ngrams (2, 3), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.23535791757049893, with ngrams (2, 3), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.23535791757049893, with ngrams (2, 3), analyzer word, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.23535791757049893, with ngrams (2, 3), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.23535791757049893, with ngrams (2, 3), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.22017353579175705, with ngrams (2, 3), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.20498915401301518, with ngrams (2, 3), analyzer word, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.2017353579175705, with ngrams (2, 3), analyzer word, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.20824295010845986, with ngrams (2, 3), analyzer word, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.16919739696312364, with ngrams (2, 3), analyzer word, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.1822125813449024, with ngrams (2, 3), analyzer word, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.17787418655097614, with ngrams (2, 3), analyzer word, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.17462039045553146, with ngrams (2, 3), analyzer word, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.16919739696312364, with ngrams (2, 3), analyzer word, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.22234273318872017, with ngrams (2, 3), analyzer char, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.21908893709327548, with ngrams (2, 3), analyzer char, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.23644251626898047, with ngrams (2, 3), analyzer char, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.24837310195227766, with ngrams (2, 3), analyzer char, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.2787418655097614, with ngrams (2, 3), analyzer char, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.279826464208243, with ngrams (2, 3), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.28199566160520606, with ngrams (2, 3), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.289587852494577, with ngrams (2, 3), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2418655097613883, with ngrams (2, 3), analyzer char, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.24078091106290672, with ngrams (2, 3), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.24295010845986983, with ngrams (2, 3), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.289587852494577, with ngrams (2, 3), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.22234273318872017, with ngrams (2, 3), analyzer char, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.21908893709327548, with ngrams (2, 3), analyzer char, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.23644251626898047, with ngrams (2, 3), analyzer char, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.24837310195227766, with ngrams (2, 3), analyzer char, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.22234273318872017, with ngrams (2, 3), analyzer char, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.21908893709327548, with ngrams (2, 3), analyzer char, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.23644251626898047, with ngrams (2, 3), analyzer char, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.24837310195227766, with ngrams (2, 3), analyzer char, max_depth 50, min samples leaf 20
